Month,Monthly milk production: pounds per cow.,Random_Permutation
1962-01,589,238.627401061824
1962-02,561,480.515241112061
1962-03,640,295.718677171963
1962-04,656,139.978538081422
1962-05,727,542.267987054985
1962-06,697,565.81624283512
1962-07,640,626.946691710535
1962-08,599,254.739923492987
1962-09,568,85.514376224748
1962-10,577,418.373582116827
1962-11,553,477.088952341519
1962-12,582,262.323524669652
1963-01,600,149.100454355238
1963-02,566,119.867918171557
1963-03,653,305.708494456209
1963-04,673,118.966222966327
1963-05,742,548.135363662789
1963-06,716,647.567943908753
1963-07,660,223.250676121294
1963-08,617,289.588121826041
1963-09,583,546.554325231546
1963-10,587,223.279916166499
1963-11,565,71.6584019072511
1963-12,598,384.368243223172
1964-01,628,91.4581551497524
1964-02,618,512.486543688142
1964-03,688,292.476198891946
1964-04,705,234.927503929284
1964-05,770,43.8105624812579
1964-06,736,514.799755092155
1964-07,678,539.623254318794
1964-08,639,98.3793939055224
1964-09,604,557.866017849772
1964-10,611,332.333562637067
1964-11,594,333.879795113562
1964-12,634,31.7897958574301
1965-01,658,507.702954014997
1965-02,622,51.8921327332114
1965-03,709,380.634366424834
1965-04,722,74.6559426106661
1965-05,782,397.799484177443
1965-06,756,601.343564073223
1965-07,702,150.24816658018
1965-08,653,248.517972316547
1965-09,615,127.601041421088
1965-10,621,437.988818771571
1965-11,602,587.525690434068
1965-12,635,333.821884483725
1966-01,677,513.406796544389
1966-02,635,123.252914404986
1966-03,736,16.2211554825769
1966-04,755,685.698854688855
1966-05,811,369.125948565167
1966-06,798,691.809821734836
1966-07,735,327.61223226255
1966-08,697,603.580341417923
1966-09,661,23.576221264485
1966-10,667,104.226400243533
1966-11,645,596.001170985918
1966-12,688,369.667079888751
1967-01,713,645.4999755425
1967-02,667,116.909179249498
1967-03,762,35.4881111901998
1967-04,784,249.974366243344
1967-05,837,467.095308268442
1967-06,817,384.72320062348
1967-07,767,177.834176194099
1967-08,722,152.854631675689
1967-09,681,11.6925912101504
1967-10,687,448.895792121952
1967-11,660,540.512210882544
1967-12,698,330.150319820093
1968-01,717,642.808561576811
1968-02,696,195.777411511009
1968-03,775,741.471624041501
1968-04,796,442.780540476294
1968-05,858,486.545733687686
1968-06,826,55.4854505353701
1968-07,783,395.831067645823
1968-08,740,348.229541608058
1968-09,701,424.835159782091
1968-10,706,64.3585679577041
1968-11,677,111.066401744594
1968-12,711,65.9595414157333
1969-01,734,358.449545434184
1969-02,690,520.17812228928
1969-03,785,423.805730462718
1969-04,805,166.8702082219
1969-05,871,643.378735359725
1969-06,845,117.288902960362
1969-07,801,545.828827291224
1969-08,764,87.7782127711003
1969-09,725,141.060751959631
1969-10,723,387.760903357049
1969-11,690,160.161530105771
1969-12,734,47.9460419052568
1970-01,750,167.463469268598
1970-02,707,581.686234453816
1970-03,807,352.9864965736
1970-04,824,652.007424583502
1970-05,886,549.167448150373
1970-06,859,0.391226212420153
1970-07,819,430.193189269184
1970-08,783,647.991510496156
1970-09,740,433.344416950759
1970-10,747,344.283544181634
1970-11,711,624.777913633662
1970-12,751,560.090190978959
1971-01,804,266.38295841297
1971-02,756,154.133685582885
1971-03,860,200.671351940543
1971-04,878,278.142631656613
1971-05,942,199.359142843805
1971-06,913,388.463403680881
1971-07,869,718.014628904431
1971-08,834,720.867824609919
1971-09,790,719.372718799722
1971-10,800,185.895987485412
1971-11,763,521.942931915794
1971-12,800,132.018555229409
1972-01,826,504.076689033713
1972-02,799,381.639389682129
1972-03,890,337.865341183733
1972-04,900,618.538104789288
1972-05,961,43.3238911492524
1972-06,935,832.285889849609
1972-07,894,709.579978107349
1972-08,855,523.85530100052
1972-09,809,405.560094079704
1972-10,810,676.592266264069
1972-11,766,101.56201759441
1972-12,805,325.386316818774
1973-01,821,466.041568318549
1973-02,773,692.330642772225
1973-03,883,291.418552351225
1973-04,898,266.273658264809
1973-05,957,910.929810348403
1973-06,924,42.2406809979677
1973-07,881,21.7702809354217
1973-08,837,90.1643358480185
1973-09,784,389.556047481532
1973-10,791,605.31623560766
1973-11,760,5.57613374012194
1973-12,802,203.295511217231
1974-01,828,700.301422141138
1974-02,778,205.903491305702
1974-03,889,360.675564329378
1974-04,902,89.0620605458919
1974-05,969,226.845388749589
1974-06,947,55.3554670023877
1974-07,908,219.910390110307
1974-08,867,413.047946144596
1974-09,815,240.769892285344
1974-10,812,494.187389642399
1974-11,773,670.128029572772
1974-12,813,311.292181587133
1975-01,834,516.863126456788
1975-02,782,483.365412488524
1975-03,892,820.178727317622
1975-04,903,253.535914233021
1975-05,966,729.328549217622
1975-06,937,125.158637198042
1975-07,896,313.180241834004
1975-08,858,300.017164597442
1975-09,817,331.530166205555
1975-10,827,19.2187215667389
1975-11,797,342.660004805013
1975-12,843,744.010069586562
