eventid,iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary
201101010001,2011,1,1,60,Egypt,10,Middle East & North Africa,Al Iskandariyah (Alexandria),Alexandria,30.762296,29.696268,1,0,"The attack occurred at the Saints Church in district of Sidi Bechr  in Alexandria, Alexandria, Egypt.","01/01/2011: On Saturday at 0000 midnight, in the district of Sidi Bechr in Alexandria, Alexandria, Egypt, 23 people were killed and 97 people were injured when a suicide bomber detonated an improvised explosive device belt made with 10 to 15 kilograms of TNT, bolts, and bearings outside the Saints Church as civilians were leaving from mass. Many nearby vehicles were destroyed and no group has claimed responsibility, but the militant group Jaish Al Islam was thought to be responsible for the attack."
201101010003,2011,1,1,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack occurred on a highway in Baghdad, Baghdad, Iraq.","01/01/2011: On Saturday, on the Mohammed al-Qassim highway, near the Iraqi Finance Ministry in Baghdad city, Baghdad province, Iraq, unknown gunmen opened fire on the car of Lieutenant Colonel Ihsan Ali Fadhel, head of the communication department of Baghdad's Rusafa police command. Fadhel was killed during the attack, which also caused an unknown amount of property damage to the vehicle. No group claimed responsibility for the attack."
201101010004,2011,1,1,95,Iraq,10,Middle East & North Africa,Diyala,Baqubah,33.75,44.633333,1,0,"The bombing occurred inside the house of a district mayor in Ba'quba, Diyala, Iraq.","01/01/2011: On Saturday morning, in Ba'quba, Diyala, Iraq, unknown assailants detonated an improvised explosive device placed inside the house of a district mayor, Karim Zuhair, wounding him, killing his 47-year-old wife and causing an unknown amount of property damage to the mayor's residence. No group has claimed responsibility for the attack."
201101010005,2011,1,1,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15,1,0,"At the Victory Christ Church in Maiduguri, Borno, Nigeria.","01/01/2011: On Saturday night, in Maiduguri, Borno, Nigeria, unidentified gunmen set fire to Victory Christ Church by unknown means. No casualties were reported and one section of the church was damaged. No group claimed responsibility, but the militant group Boko Haram was thought to be responsible for the attack"
201101020001,2011,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack occurred in an unknown, urban area in Baghdad, Iraq.","01/02/2011: On Sunday, in Baghdad city, Baghdad province, Iraq, unknown gunmen with silenced weapons, shot and killed a local government worker in a drive by shooting. No damages were reported and no group claimed responsibility."
201101020002,2011,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack occurred in the Canal neighborhood of Baghdad, Iraq.","01/02/2011: On Sunday night, in the Canal neighborhood of Baghdad city, Baghdad province, Iraq, unknown gunmen shot and killed a Traffic Department officer holding the rank of lieutenant brigadier. No damages were reported and no group claimed responsibility for the attack."
201101020003,2011,1,2,95,Iraq,10,Middle East & North Africa,Diyala,Baqubah,33.75,44.633333,1,0,"The bombing occurred in an unknown, urban area in Ba'quba, Diyala, Iraq.","01/02/2011: On Sunday, in Ba'quba, Diyala, Iraq, unknown assailants detonated two improvised explosive devices, wounding three civilians including Mal Abbas Ahmed, who heads the Sunni religious endowment for Diyala province. It is unknown if the blasts resulted in any property damage. No group has claimed responsibility for the attack."
201101020004,2011,1,2,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.34,43.13,1,0,"The attempted bombing occurred in the Arab district in Mosul, Ninawa, Iraq.","01/02/2011: On Sunday, in the Arab area of Mosul, Ninawa, Iraq, two improvised explosive belts were hung on a palm tree on the side of the road by the residence of Jabur al-Abdullah, the Chairman of Ninawa Province's Council. The suicide bombers laid the explosive belts there in order to pass the checkpoints near the councilman's residence. A force belonging to the Iraqi Army's 10th divisions managed to foil the suicide attack. No damages or casualties were reported and no group claimed responsibility."
201101020005,2011,1,2,95,Iraq,10,Middle East & North Africa,Saladin,Balad,34.016389,44.145278,1,1,"The bombing occurred in the al-Rufei'at village in Balad, Salah ad Din, Iraq.","01/02/2011: On Sunday morning, in al-Rufei'at village, Balad, Salah ad Din, Iraq, unknown assailants detonated an improvised explosive device in the house of Hardan Khalaf Jasim, a court prosecutor. The blast killed Jasim's nephew and wounded Jasim and eight other members of his family. The blast also destroyed a large part of the house. No group claimed responsibility for the attack."
201101020006,2011,1,2,167,Russia,9,Eastern Europe,Dagestan,Khasavyurt,43.25,46.583333,1,0,"The attack occurred in a grocery store in Khasavyurt, Dagestan, Russia.","01/02/2011: On Sunday night at 0045, in Khasavyurt, Dagestan, Russia, unknown assailants detonated an improvised explosive device inside a grocery store. No casualties were reported but the store was destroyed. No group claimed responsibility."
201101020007,2011,1,2,603,United Kingdom,8,Western Europe,Northern Ireland,Lisburn,54.510893,-6.042726,1,0,County Antrim. The attack occurred on Brokerstown Road in Lisburn.,"01/02/2011: On Sunday, on Brokerstown Road in Lisburn, Northern Ireland, unidentified assailants threw a petrol bomb at a civilian residence. No casualties were reported but the house and a nearby vehicle were damaged. No group claimed responsibility for the attack."
201101020008,2011,1,2,19,Bangladesh,6,South Asia,Pabna,Faridpur,,,,1,"The attack took place in a field in Balughata village in Faridpur, Pabna, Bangladesh.","01/02/2011: On Sunday morning, at a field in Balughata village in Faridpur, Pabna, Bangladesh, unidentified militants killed a Purba Banglar Communist Party-Janajuddha (PBCP-J) militant, identified as Abdul Aziz. The victim was shot and then chopped up. No group claimed responsibility, but it was suspected that members from a rival faction were responsible."
201101030002,2011,1,3,167,Russia,9,Eastern Europe,Ingushetia,Ordzhonikidzevskaya,43.316667,45.066667,1,0,"The attack occurred in the Sunzhensky area of Ordzhonikidzevskaya, Ingushetia, Russia.","01/03/2011: On Monday night at 2220, in the Sunzhensky area of Ordzhonikidzevskaya, Ingushetia, Russia, unknown assailants threw two hand grenades at four policemen patrolling the New Year's tree in the main square. Only one grenade exploded, but no damages or casualties were reported. No group claimed responsibility."
201101030003,2011,1,3,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack occurred on the Sarrafiya bridge in Baghdad, Iraq.","01/03/2011: On Monday, on the Sarrafiya bridge in Baghdad city, Baghdad province, Iraq, a police officer was killed after militants, armed with silenced weapons, opened fire on his police car as he drove by.No damages were reported in the attack. No group has claimed responsibility for the attack."
201101030004,2011,1,3,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.311611,44.43942,1,0,"The attack occurred in the al-Wahda neighborhood in Baghdad, Iraq.","01/03/2011: On Monday, in the al-Wahda neighborhood in Baghdad city, Baghdad province, Iraq, unknown gunmen stormed the house of a Christian woman, Rafah Toma, killing her and stealing many of her possessions. Toma was likely targeted because of her religion. No damages were reported and no group claimed responsibility."
201101030005,2011,1,3,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack occurred in the Suleikh neighborhood of Baghdad, Iraq.","01/03/2011: On Monday, in the Suleikh neighborhood of Baghdad city, Baghdad province, Iraq, unknown gunmen shot and killed two Interior Ministry employees. No damages were reported. No group claimed responsibility."
201101030006,2011,1,3,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.836123,13.17764,1,0,"The attack occurred in the Gwange area of Maiduguri, Borno, Nigeria.","01/03/2011: On Monday morning around 0945, in the Gwange area of Maiduguri, Borno, Nigeria, two unidentified militants riding a taxi motorcycle fired upon and killed a policeman, identified as Corporal James, as he was walking home. No group claimed responsibility, but the militant group Boko Haram was thought to be responsible for the attack."
201101030007,2011,1,3,147,Nigeria,11,Sub-Saharan Africa,Delta,Ughelli,5.5,5.983333,1,0,"At the the Independent National Electoral Commission office building on Post Officer Road in Ughelli, Delta, Nigeria.","01/03/2011: On Monday night around 0100, in Ughelli, Delta, Nigeria, three people were injured when unidentified militants detonated an improvised explosive device targeting the Independent National Electoral Commission (INEC) office building on Post Officer Road. The building was burned and completely destroyed in the attack. The attack was motivated by the INEC's rigging of the recent election. The militant group Delta Democratic Militia claimed responsibility for the attack."
